"","Country.or.region","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","College.Count","mean_overall_rank <- mean(scores_overall_rank)","mean_scores_teaching_rank <- mean(scores_teaching_rank)","mean.scores.research <- mean(scores_research)","mean_scores_research_rank <- mean(scores_research_rank)","mean_scores_citation_rank <- mean(scores_citations_rank)","mean_industry_income <- mean(scores_industry_income)","mean_international_outcome_rank <- mean(scores_international_outlook_rank)","Has.Top.College","College.Ranking.Happiness.Ranking.Ratio","College.Ranking.to.GDP","College.Ranking.to.SocialSupport","College.Ranking.to.life","College.Ranking.to.freedom","College.Ranking.to.generosity","College.Ranking.to.corruption","Research.to.GDP","Research.to.Social","Research.to.Life","Research.to.Freedom","Research.to.Generosity","Research.to.Corruption"
"13","Israel",13,7.139,1.276,1.455,1.029,0.371,0.261,0.082,6,4146.66666666667,354.5,37.0666666666667,243,558,43.4666666666667,521.666666666667,TRUE,580.846990708316,3249.73876698015,2849.94272623139,4029.80239714934,11176.9991015274,15887.6117496807,50569.1056910569,29.0491118077325,25.475372279496,36.0220278587625,99.9101527403414,142.017879948914,452.032520325203
"14","Luxembourg",14,7.09,1.609,1.479,1.012,0.526,0.194,0.316,1,2240,447,30.6,320,145,42.8,4,TRUE,315.937940761636,1392.16904909882,1514.53684922245,2213.43873517787,4258.55513307985,11546.3917525773,7088.60759493671,19.0180236171535,20.6896551724138,30.2371541501976,58.1749049429658,157.731958762887,96.8354430379747
"15","United Kingdom",15,7.054,1.333,1.538,0.996,0.45,0.348,0.278,98,4536.42857142857,657.234693877551,28.719387755102,520.775510204082,425.530612244898,37.6469387755102,179.632653061224,TRUE,643.100166065859,3403.17222162684,2949.56344046071,4554.64716006885,10080.9523809524,13035.7142857143,16318.0883864337,21.5449270480886,18.6732040020169,28.834726661749,63.8208616780045,82.5269763077645,103.307150198209
"16","Ireland",16,7.021,1.499,1.553,0.999,0.516,0.298,0.31,9,3868.88888888889,621.777777777778,28.6,406,392.555555555556,42.6333333333333,134.333333333333,TRUE,551.045276867809,2580.97991253428,2491.23560134507,3872.76165053943,7497.84668389319,12982.8486204325,12480.2867383513,19.079386257505,18.4159690920798,28.6286286286286,55.4263565891473,95.9731543624161,92.258064516129
"17","Germany",17,6.985,1.373,1.454,0.987,0.495,0.261,0.265,47,2399.14893617021,236.978723404255,40.3765957446808,248.234042553192,330.170212765957,63.9510638297872,395.382978723404,TRUE,343.471572823223,1747.37722954859,1650.03365623811,2430.74866886546,4846.76552761659,9192.14151789353,9053.39221196307,29.4075715547566,27.7693230706196,40.9084050098084,81.5688802922845,154.699600554333,152.364512244079
"18","Belgium",18,6.923,1.356,1.504,0.986,0.473,0.16,0.21,8,2251.25,297.875,43.9,183.5,320.375,70.6,240,TRUE,325.184168712986,1660.21386430678,1496.84175531915,2283.21501014199,4759.51374207188,14070.3125,10720.2380952381,32.3746312684366,29.188829787234,44.5233265720081,92.8118393234672,274.375,209.047619047619
"19","United States",19,6.892,1.433,1.457,0.874,0.454,0.28,0.128,172,3484.94186046512,358.06976744186,35.8581395348837,409.127906976744,310.174418604651,44.7726744186047,590.139534883721,TRUE,505.650298964759,2431.92034924293,2391.86126318814,3987.34766643606,7676.08339309497,12446.2209302326,27226.1082848837,25.0231259838686,24.6109399690348,41.0276196051301,78.9826862001844,128.064784053156,280.141715116279
"20","Czech Republic",20,6.852,1.269,1.487,0.92,0.457,0.046,0.036,14,9532.85714285714,915.5,15.0571428571429,787.142857142857,965.142857142857,37.9071428571429,607.428571428571,TRUE,1391.25177216246,7512.10176742092,6410.79834758382,10361.801242236,20859.6436386371,207236.02484472,264801.587301587,11.865360801531,10.1258526275339,16.3664596273292,32.9477961863082,327.329192546584,418.253968253968
"21","United Arab Emirates",21,6.825,1.503,1.31,0.825,0.598,0.262,0.182,4,6240,822.5,17.975,705,671.25,55.475,22.5,TRUE,914.285714285714,4151.69660678643,4763.35877862595,7563.63636363636,10434.7826086957,23816.7938931298,34285.7142857143,11.9594145043247,13.7213740458015,21.7878787878788,30.0585284280936,68.6068702290076,98.7637362637363
"22","Malta",22,6.726,1.3,1.52,0.999,0.564,0.375,0.151,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Mexico",23,6.595,1.07,1.323,0.861,0.433,0.074,0.073,17,10092.3529411765,1034.64705882353,10.1882352941176,1083,1095.41176470588,39.6411764705882,907.588235294118,TRUE,1530.30370601614,9432.10555250137,7628.38468720822,11721.6642754663,23307.9744599918,136383.147853736,138251.410153102,9.52171522814733,7.70085812102619,11.8330258932841,23.5294117647059,137.678855325914,139.564867042708
"24","France",24,6.592,1.324,1.472,1.045,0.436,0.111,0.183,34,4665.29411764706,495.882352941176,24.3029411764706,543.735294117647,497.470588235294,44.7441176470588,303.970588235294,TRUE,707.720588235294,3523.63604051893,3169.3574168798,4464.39628482972,10700.215866163,42029.6767355591,25493.4104789457,18.3556957526213,16.5101502557545,23.2564030396848,55.7406907717215,218.94541600424,132.802957248473
"25","Taiwan",25,6.446,1.368,1.43,0.914,0.351,0.242,0.097,32,8525.625,822.125,24.059375,536.75,945.625,57,903.21875,TRUE,1322.62255662426,6232.18201754386,5961.97552447553,9327.81728665208,24289.5299145299,35229.8553719008,87893.0412371134,17.5872624269006,16.8247377622378,26.3231673960613,68.5452279202279,99.4189049586777,248.034793814433
"26","Chile",26,6.444,1.159,1.369,0.92,0.357,0.187,0.056,16,9043.75,1126.5625,12.23125,941,836.8125,38.19375,520.625,TRUE,1403.4373060211,7803.06298533218,6606.09934258583,9830.16304347826,25332.6330532213,48362.2994652406,161495.535714286,10.5532786885246,8.93444119795471,13.2948369565217,34.2612044817927,65.4077540106952,218.415178571429
"27","Guatemala",27,6.436,0.8,1.269,0.746,0.535,0.175,0.078,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Saudi Arabia",28,6.375,1.403,1.357,0.795,0.439,0.08,0.132,6,5653.33333333333,631.166666666667,16.25,796.5,566.666666666667,59.8,141.666666666667,TRUE,886.797385620915,4029.46067949632,4166.05256693687,7111.11111111111,12877.7524677297,70666.6666666667,42828.2828282828,11.5823235923022,11.9749447310243,20.440251572327,37.0159453302961,203.125,123.106060606061
"29","Qatar",29,6.374,1.684,1.313,0.871,0.555,0.22,0.167,1,4690,931,24.1,463,452,53.1,2,TRUE,735.801694383433,2785.03562945368,3571.97258187357,5384.61538461538,8450.45045045045,21318.1818181818,28083.8323353293,14.3111638954869,18.3549124143184,27.6693455797933,43.4234234234234,109.545454545455,144.311377245509
"30","Spain",30,6.354,1.286,1.484,1.062,0.362,0.153,0.079,38,6610.52631578947,596.973684210526,17.1578947368421,728.447368421053,612.078947368421,38.1315789473684,610.578947368421,TRUE,1040.3724135646,5140.37816157813,4454.53255780962,6224.60105064922,18261.1224193079,43206.0543515652,83677.5483011326,13.3420643365802,11.5619236771173,16.156209733373,47.3974992730445,112.143102855177,217.188540972685
"31","Panama",31,6.321,1.149,1.442,0.91,0.516,0.109,0.054,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Brazil",32,6.3,1.004,1.439,0.802,0.39,0.099,0.086,36,9440,721.527777777778,14.2861111111111,887.777777777778,1003.33333333333,39.1444444444444,1048.25,TRUE,1498.4126984127,9402.39043824701,6560.11118832523,11770.5735660848,24205.1282051282,95353.5353535353,109767.441860465,14.229194333776,9.92780480271794,17.8131061235799,36.6310541310541,144.304152637486,166.117571059432
"33","Uruguay",33,6.293,1.124,1.465,0.891,0.523,0.127,0.15,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Singapore",34,6.262,1.572,1.463,1.141,0.556,0.271,0.453,2,370,54.5,77.3,36,192.5,75.35,29.5,TRUE,59.086553816672,235.368956743003,252.904989747095,324.276950043821,665.467625899281,1365.31365313653,816.777041942605,49.1730279898219,52.8366370471634,67.7475898334794,139.028776978417,285.239852398524,170.640176600441
"35","El Salvador",35,6.253,0.794,1.242,0.789,0.43,0.093,0.074,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
